
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2024-10-14 13:00:06 /profile ................................... ~ 500.98ms
  2024-10-14 13:00:07 /build/assets/app-DaN8u4V-.css ............... ~ 0.06ms
  2024-10-14 13:00:07 /build/assets/app-DLXkxiZ3.js ................ ~ 0.25ms
  2024-10-14 13:00:07 /favicon.ico ................................. ~ 0.03ms
  2024-10-14 13:01:13 /profile ..................................... ~ 0.26ms
  2024-10-14 13:01:13 /build/assets/app-DaN8u4V-.css ............... ~ 0.09ms
  2024-10-14 13:01:13 /build/assets/app-DLXkxiZ3.js ................ ~ 0.08ms
  2024-10-14 13:01:13 /favicon.ico ................................. ~ 0.27ms
  2024-10-14 13:21:27 /logout ...................................... ~ 0.35ms
  2024-10-14 13:21:27 / ............................................ ~ 0.05ms
  2024-10-14 13:21:28 /favicon.ico ................................. ~ 0.10ms
  2024-10-14 13:21:29 /login ....................................... ~ 0.30ms
  2024-10-14 13:21:29 /build/assets/app-DaN8u4V-.css ............... ~ 0.13ms
  2024-10-14 13:21:29 /build/assets/app-DLXkxiZ3.js ................ ~ 0.09ms
  2024-10-14 13:21:29 /favicon.ico ................................. ~ 0.10ms
  2024-10-14 13:22:09 /login ..................................... ~ 501.22ms
  2024-10-14 13:22:09 /login ....................................... ~ 0.04ms
  2024-10-14 13:22:09 /build/assets/app-DaN8u4V-.css ............... ~ 0.04ms
  2024-10-14 13:22:09 /build/assets/app-DLXkxiZ3.js ................ ~ 0.09ms
  2024-10-14 13:22:09 /favicon.ico ................................. ~ 0.04ms
  2024-10-14 13:22:39 /login ..................................... ~ 500.94ms
  2024-10-14 13:22:39 /login ....................................... ~ 0.09ms
  2024-10-14 13:22:39 /build/assets/app-DaN8u4V-.css ............... ~ 0.05ms
  2024-10-14 13:22:39 /build/assets/app-DLXkxiZ3.js ................ ~ 0.05ms
  2024-10-14 13:22:39 /favicon.ico ................................. ~ 0.09ms
  2024-10-14 13:22:54 / .......................................... ~ 500.90ms
  2024-10-14 13:22:54 /favicon.ico ................................. ~ 0.07ms
  2024-10-14 13:22:56 /login ....................................... ~ 0.24ms
  2024-10-14 13:22:56 /build/assets/app-DaN8u4V-.css ............... ~ 0.04ms
